,fillKey,id,value
0,6.0,ALB,2310.0
1,5.0,DZA,1360.0
2,3.0,AGO,312.0
3,6.0,ARG,3050.0
4,5.0,ARM,1970.0
5,7.0,AUS,10100.0
6,7.0,AUT,8360.0
7,6.0,AZE,2200.0
8,8.0,BHR,19600.0
9,3.0,BGD,310.0
10,6.0,BLR,3680.0
11,7.0,BEL,7710.0
12,2.0,BEN,100.0
13,4.0,BOL,753.0
14,6.0,BIH,3370.0
15,5.0,BWA,1750.0
16,6.0,BRA,2600.0
17,7.0,BRN,10200.0
18,6.0,BGR,4710.0
19,3.0,KHM,271.0
20,3.0,CMR,281.0
21,8.0,CAN,15500.0
22,6.0,CHL,3910.0
23,6.0,CHN,3930.0
24,5.0,COL,1290.0
25,2.0,COD,109.0
26,3.0,COG,197.0
27,5.0,CRI,1960.0
28,3.0,CIV,276.0
29,6.0,HRV,3710.0
30,5.0,CUB,1430.0
31,6.0,CYP,3620.0
32,7.0,CZE,6260.0
33,7.0,DNK,5860.0
34,5.0,DOM,1580.0
35,5.0,ECU,1380.0
36,5.0,EGY,1660.0
37,4.0,SLV,939.0
38,,ERI,
39,7.0,EST,6730.0
40,1.0,ETH,69.7
41,8.0,FIN,15200.0
42,7.0,FRA,6940.0
43,5.0,GAB,1170.0
44,6.0,GEO,2690.0
45,7.0,DEU,7040.0
46,3.0,GHA,355.0
47,7.0,GRC,5060.0
48,4.0,GTM,578.0
49,0.0,HTI,39.0
50,4.0,HND,630.0
51,6.0,HUN,3970.0
52,9.0,ISL,53800.0
53,4.0,IND,806.0
54,4.0,IDN,812.0
55,6.0,IRN,2990.0
56,5.0,IRQ,1310.0
57,7.0,IRL,5670.0
58,7.0,ISR,6600.0
59,7.0,ITA,5000.0
60,5.0,JAM,1060.0
61,7.0,JPN,7820.0
62,5.0,JOR,1890.0
63,7.0,KAZ,5600.0
64,2.0,KEN,167.0
65,8.0,KWT,15200.0
66,5.0,KGZ,1940.0
67,6.0,LVA,3510.0
68,6.0,LBN,2890.0
69,5.0,LBY,1860.0
70,6.0,LTU,3820.0
71,8.0,LUX,13900.0
72,6.0,MKD,3500.0
73,6.0,MYS,4600.0
74,7.0,MLT,4920.0
75,6.0,MUS,2180.0
76,5.0,MEX,2090.0
77,5.0,MDA,1390.0
78,5.0,MNG,2020.0
79,6.0,MNE,4610.0
80,4.0,MAR,901.0
81,4.0,MOZ,463.0
82,3.0,MMR,217.0
83,5.0,NAM,1580.0
84,2.0,NPL,139.0
85,7.0,NLD,6710.0
86,7.0,NZL,9030.0
87,4.0,NIC,580.0
88,1.0,NER,51.4
89,2.0,NGA,144.0
90,4.0,PRK,600.0
91,8.0,NOR,23000.0
92,7.0,OMN,6550.0
93,4.0,PAK,471.0
94,5.0,PAN,2060.0
95,5.0,PRY,1560.0
96,5.0,PER,1310.0
97,4.0,PHL,699.0
98,6.0,POL,3970.0
99,6.0,PRT,4660.0
100,8.0,QAT,15300.0
101,6.0,ROU,2580.0
102,7.0,RUS,6600.0
103,7.0,SAU,9440.0
104,3.0,SEN,223.0
105,6.0,SRB,4270.0
106,7.0,SGP,8840.0
107,7.0,SVK,5140.0
108,7.0,SVN,6730.0
109,6.0,ZAF,4200.0
110,7.0,KOR,10500.0
111,1.0,SSD,39.9
112,7.0,ESP,5360.0
113,4.0,LKA,531.0
114,2.0,SDN,190.0
115,6.0,SUR,3630.0
116,8.0,SWE,13500.0
117,7.0,CHE,7520.0
118,4.0,SYR,950.0
119,5.0,TJK,1480.0
120,2.0,TZA,99.2
121,6.0,THA,2540.0
122,2.0,TGO,153.0
123,7.0,TTO,7130.0
124,5.0,TUN,1440.0
125,6.0,TUR,2850.0
126,6.0,TKM,2680.0
127,6.0,UKR,3420.0
128,8.0,ARE,11300.0
129,7.0,GBR,5130.0
130,8.0,USA,13000.0
131,6.0,URY,3070.0
132,5.0,UZB,1650.0
133,6.0,VEN,2660.0
134,5.0,VNM,1410.0
135,3.0,YEM,216.0
136,4.0,ZMB,707.0
137,4.0,ZWE,537.0
