,fillKey,id,value
0,7.0,AFG,6.98
1,6.0,ALB,2.86
2,6.0,DZA,2.31
3,0.0,AND,0.1
4,6.0,AGO,3.87
5,0.0,ATG,0.1
6,8.0,ARG,8.59
7,7.0,ARM,3.94
8,6.0,AUS,2.59
9,6.0,AUT,2.53
10,1.0,AZE,0.11900000000000001
11,5.0,BHS,1.77
12,7.0,BHR,4.99
13,7.0,BGD,6.66
14,3.0,BRB,0.529
15,7.0,BLR,5.68
16,4.0,BEL,0.69
17,6.0,BLZ,2.27
18,6.0,BEN,3.53
19,8.0,BTN,8.51
20,7.0,BOL,4.81
21,5.0,BIH,1.23
22,7.0,BWA,5.09
23,6.0,BRA,2.73
24,6.0,BRN,2.44
25,6.0,BGR,3.64
26,7.0,BFA,4.16
27,7.0,BDI,4.08
28,8.0,KHM,7.27
29,6.0,CMR,3.79
30,6.0,CAN,2.48
31,7.0,CPV,4.56
32,6.0,CAF,2.75
33,4.0,TCD,0.6829999999999999
34,7.0,CHL,5.92
35,7.0,CHN,5.56
36,7.0,COL,6.83
37,6.0,COM,2.23
38,7.0,COD,6.92
39,7.0,COG,4.46
40,7.0,CRI,4.51
41,0.0,CIV,0.1
42,1.0,HRV,0.139
43,6.0,CUB,2.71
44,0.0,CYP,0.1
45,5.0,CZE,2.07
46,4.0,DNK,1.04
47,6.0,DJI,3.55
48,5.0,DMA,1.87
49,7.0,DOM,3.96
50,8.0,ECU,7.87
51,5.0,EGY,1.36
52,6.0,SLV,2.12
53,7.0,GNQ,4.98
54,8.0,ERI,8.62
55,8.0,EST,8.23
56,8.0,ETH,10.8
57,6.0,FJI,2.28
58,6.0,FIN,2.67
59,5.0,FRA,1.72
60,0.0,GAB,0.1
61,0.0,GMB,0.1
62,7.0,GEO,5.82
63,6.0,DEU,2.89
64,9.0,GHA,15.1
65,0.0,GRC,0.1
66,4.0,GRD,0.861
67,7.0,GTM,4.21
68,6.0,GIN,3.81
69,7.0,GNB,5.34
70,7.0,GUY,5.34
71,7.0,HTI,5.29
72,6.0,HND,3.65
73,5.0,HUN,1.76
74,6.0,ISL,3.19
75,8.0,IND,7.75
76,7.0,IDN,6.07
77,6.0,IRN,3.05
78,8.0,IRQ,7.62
79,6.0,IRL,2.25
80,7.0,ISR,4.34
81,2.0,ITA,0.292
82,5.0,JAM,1.48
83,0.0,JPN,0.1
84,6.0,JOR,2.6
85,7.0,KAZ,6.58
86,7.0,KEN,4.38
87,6.0,KIR,2.75
88,7.0,KWT,6.49
89,7.0,KGZ,6.1
90,8.0,LAO,8.04
91,8.0,LVA,7.38
92,4.0,LBN,0.951
93,7.0,LSO,4.2
94,8.0,LBR,8.24
95,0.0,LBY,0.1
96,5.0,LIE,1.93
97,9.0,LTU,14.3
98,4.0,LUX,0.99
99,6.0,MKD,2.8
100,6.0,MDG,2.13
101,7.0,MWI,4.55
102,7.0,MYS,5.39
103,7.0,MDV,6.68
104,6.0,MLI,2.66
105,5.0,MLT,1.58
106,6.0,MHL,2.12
107,6.0,MRT,3.84
108,7.0,MUS,3.97
109,6.0,MEX,3.86
110,6.0,FSM,2.68
111,7.0,MDA,6.06
112,5.0,MCO,1.7
113,9.0,MNG,18.0
114,8.0,MNE,7.57
115,7.0,MAR,4.93
116,8.0,MOZ,7.64
117,7.0,MMR,4.19
118,7.0,NAM,5.83
119,7.0,NRU,4.0
120,7.0,NPL,3.88
121,4.0,NLD,0.833
122,5.0,NZL,1.68
123,7.0,NIC,5.63
124,6.0,NER,2.64
125,8.0,NGA,7.41
126,4.0,PRK,0.695
127,4.0,NOR,0.882
128,0.0,OMN,0.1
129,6.0,PAK,2.77
130,5.0,PLW,1.8
131,8.0,PSE,9.88
132,8.0,PAN,10.6
133,8.0,PNG,10.8
134,7.0,PRY,4.1
135,7.0,PER,6.45
136,7.0,PHL,3.89
137,6.0,POL,3.4
138,0.0,PRT,0.1
139,9.0,QAT,15.5
140,6.0,ROU,2.22
141,7.0,RUS,4.57
142,8.0,RWA,9.21
143,6.0,WSM,2.12
144,0.0,SMR,0.1
145,7.0,STP,4.94
146,8.0,SAU,7.83
147,6.0,SEN,2.62
148,4.0,SRB,0.667
149,8.0,SYC,7.14
150,7.0,SLE,5.61
151,7.0,SGP,4.66
152,6.0,SVK,3.15
153,4.0,SVN,0.706
154,8.0,SLB,10.7
155,6.0,SOM,2.42
156,6.0,ZAF,2.89
157,5.0,KOR,1.51
158,9.0,SSD,24.1
159,4.0,ESP,1.13
160,8.0,LKA,8.47
161,0.0,KNA,0.1
162,5.0,LCA,1.79
163,3.0,VCT,0.341
164,9.0,SDN,22.7
165,7.0,SUR,4.26
166,3.0,SWZ,0.525
167,6.0,SWE,3.7
168,5.0,CHE,1.34
169,0.0,SYR,0.1
170,7.0,TJK,6.36
171,7.0,TZA,6.45
172,3.0,THA,0.34
173,8.0,TLS,11.7
174,7.0,TGO,4.75
175,5.0,TON,1.49
176,0.0,TTO,0.1
177,0.0,TUN,0.1
178,8.0,TUR,8.42
179,9.0,TKM,14.3
180,,TUV,
181,7.0,UGA,6.68
182,7.0,UKR,5.0
183,8.0,ARE,7.28
184,4.0,GBR,0.841
185,5.0,USA,1.99
186,7.0,URY,5.67
187,8.0,UZB,7.29
188,5.0,VUT,1.63
189,7.0,VEN,4.21
190,7.0,VNM,5.75
191,0.0,YEM,0.1
192,7.0,ZMB,6.6
193,8.0,ZWE,9.79
