,fillKey,id,value
0,3.0,AFG,58.0
1,8.0,ALB,77.7
2,8.0,DZA,77.4
3,9.0,AND,82.5
4,5.0,AGO,64.7
5,8.0,ATG,77.3
6,8.0,ARG,76.7
7,8.0,ARM,75.7
8,9.0,AUS,82.5
9,9.0,AUT,81.5
10,7.0,AZE,72.1
11,7.0,BHS,73.8
12,8.0,BHR,76.9
13,7.0,BGD,72.8
14,8.0,BRB,76.5
15,7.0,BLR,73.5
16,9.0,BEL,80.9
17,7.0,BLZ,72.0
18,5.0,BEN,64.4
19,7.0,BTN,74.1
20,7.0,BOL,73.3
21,8.0,BIH,77.6
22,5.0,BWA,65.5
23,8.0,BRA,75.3
24,8.0,BRN,77.0
25,8.0,BGR,75.1
26,4.0,BFA,60.8
27,4.0,BDI,60.4
28,6.0,KHM,68.7
29,4.0,CMR,60.2
30,9.0,CAN,81.8
31,7.0,CPV,73.7
32,0.0,CAF,50.3
33,4.0,TCD,59.8
34,9.0,CHL,80.2
35,8.0,CHN,76.6
36,8.0,COL,78.2
37,6.0,COM,67.6
38,4.0,COD,61.6
39,4.0,COG,63.0
40,9.0,CRI,81.0
41,4.0,CIV,60.0
42,8.0,HRV,77.3
43,8.0,CUB,79.0
44,9.0,CYP,80.5
45,8.0,CZE,79.1
46,9.0,DNK,80.8
47,5.0,DJI,66.7
48,7.0,DMA,73.0
49,8.0,DOM,75.7
50,8.0,ECU,77.9
51,7.0,EGY,72.2
52,8.0,SLV,75.3
53,5.0,GNQ,65.5
54,5.0,ERI,63.7
55,8.0,EST,77.4
56,5.0,ETH,65.6
57,5.0,FJI,65.5
58,9.0,FIN,81.7
59,9.0,FRA,82.3
60,5.0,GAB,66.6
61,6.0,GMB,67.3
62,7.0,GEO,74.0
63,9.0,DEU,80.9
64,5.0,GHA,66.0
65,9.0,GRC,81.0
66,7.0,GRD,71.6
67,7.0,GTM,72.7
68,4.0,GIN,60.7
69,3.0,GNB,58.8
70,6.0,GUY,67.9
71,5.0,HTI,64.0
72,7.0,HND,72.7
73,8.0,HUN,75.7
74,9.0,ISL,82.3
75,6.0,IND,68.6
76,7.0,IDN,71.7
77,8.0,IRN,76.1
78,6.0,IRQ,67.7
79,9.0,IRL,81.2
80,9.0,ISR,82.1
81,9.0,ITA,82.3
82,8.0,JAM,74.9
83,9.0,JPN,83.9
84,8.0,JOR,76.3
85,7.0,KAZ,71.7
86,6.0,KEN,66.9
87,4.0,KIR,61.9
88,9.0,KWT,79.7
89,7.0,KGZ,71.2
90,6.0,LAO,67.3
91,8.0,LVA,74.9
92,9.0,LBN,80.1
93,1.0,LSO,50.4
94,5.0,LBR,64.4
95,8.0,LBY,75.1
96,8.0,LTU,75.0
97,9.0,LUX,82.1
98,8.0,MKD,74.9
99,4.0,MDG,62.7
100,4.0,MWI,60.3
101,8.0,MYS,75.6
102,9.0,MDV,79.5
103,4.0,MLI,61.9
104,9.0,MLT,81.4
105,5.0,MHL,65.0
106,6.0,MRT,70.3
107,7.0,MUS,74.6
108,8.0,MEX,76.4
109,5.0,FSM,65.6
110,7.0,MDA,72.2
111,6.0,MNG,68.3
112,8.0,MNE,77.0
113,8.0,MAR,75.0
114,4.0,MOZ,60.0
115,6.0,MMR,70.0
116,5.0,NAM,64.8
117,7.0,NPL,70.8
118,9.0,NLD,81.6
119,9.0,NZL,81.5
120,8.0,NIC,78.2
121,4.0,NER,61.7
122,5.0,NGA,65.0
123,6.0,PRK,70.7
124,9.0,NOR,82.1
125,8.0,OMN,77.6
126,6.0,PAK,67.7
127,7.0,PSE,71.8
128,8.0,PAN,79.0
129,4.0,PNG,60.8
130,7.0,PRY,74.6
131,9.0,PER,79.7
132,6.0,PHL,70.3
133,8.0,POL,77.9
134,9.0,PRT,80.9
135,9.0,QAT,80.4
136,8.0,ROU,75.3
137,7.0,RUS,70.8
138,6.0,RWA,67.7
139,7.0,WSM,72.0
140,6.0,STP,70.6
141,8.0,SAU,77.3
142,5.0,SEN,66.2
143,8.0,SRB,75.9
144,7.0,SYC,73.8
145,3.0,SLE,59.1
146,9.0,SGP,83.7
147,8.0,SVK,76.9
148,9.0,SVN,80.8
149,4.0,SLB,63.1
150,3.0,SOM,57.2
151,4.0,ZAF,62.4
152,9.0,KOR,80.9
153,4.0,SSD,59.7
154,9.0,ESP,82.9
155,8.0,LKA,77.4
156,8.0,LCA,76.2
157,7.0,VCT,71.8
158,6.0,SDN,68.3
159,7.0,SUR,71.4
160,3.0,SWZ,57.7
161,9.0,SWE,82.0
162,9.0,CHE,83.1
163,6.0,SYR,68.4
164,7.0,TJK,71.9
165,5.0,TZA,64.3
166,8.0,THA,77.8
167,7.0,TLS,72.7
168,4.0,TGO,62.6
169,6.0,TON,70.4
170,7.0,TTO,73.2
171,8.0,TUN,77.5
172,8.0,TUR,79.1
173,6.0,TKM,70.2
174,4.0,UGA,62.3
175,7.0,UKR,72.0
176,8.0,ARE,76.6
177,9.0,GBR,80.9
178,8.0,USA,78.8
179,8.0,URY,77.3
180,6.0,UZB,70.3
181,5.0,VUT,64.0
182,8.0,VEN,75.5
183,7.0,VNM,74.5
184,5.0,YEM,66.7
185,3.0,ZMB,58.8
186,3.0,ZWE,59.3
