,fillKey,id,value
0,3.0,AFG,3.70
1,8.0,ALB,11.45
2,7.0,DZA,9.86
3,9.0,AND,15.5
4,5.0,AGO,6.07
5,9.0,ATG,14.25
6,8.0,ARG,12.25
7,8.0,ARM,11.95
8,9.0,AUS,14.90
9,8.0,AUT,12.15
10,8.0,AZE,12.45
11,9.0,BHS,13.25
12,8.0,BHR,10.75
13,6.0,BGD,7.07
14,8.0,BRB,11.90
15,9.0,BLR,12.85
16,9.0,BEL,13.6
17,7.0,BLZ,10.12
18,4.0,BEN,5.44
19,5.0,BTN,5.88
20,8.0,BOL,10.75
21,8.0,BIH,11.1
22,7.0,BWA,9.45
23,7.0,BRA,8.91
24,9.0,BRN,15.40
25,8.0,BGR,11.60
26,2.0,BFA,3.25
27,4.0,BDI,5.23
28,6.0,KHM,7.25
29,6.0,CMR,8.315
30,9.0,CAN,14.45
31,6.0,CPV,8.295
32,5.0,CAF,5.865
33,3.0,TCD,3.87
34,9.0,CHL,13.1
35,8.0,CHN,11.25
36,8.0,COL,10.65
37,6.0,COM,7.285
38,6.0,COD,7.195
39,7.0,COG,8.835
40,8.0,CRI,10.515
41,5.0,CIV,5.67
42,8.0,HRV,10.8
43,9.0,CUB,12.95
44,9.0,CYP,13.75
45,9.0,CZE,12.8
46,9.0,DNK,13.25
47,6.0,DJI,7.58
48,9.0,DMA,13.0
49,8.0,DOM,10.465
50,8.0,ECU,10.7
51,8.0,EGY,10.28
52,7.0,SLV,9.575
53,6.0,GNQ,8.075
54,5.0,ERI,6.375
55,8.0,EST,11.1
56,5.0,ETH,6.165
57,8.0,FJI,12.15
58,9.0,FIN,12.9
59,9.0,FRA,12.9
60,7.0,GAB,9.79
61,5.0,GMB,6.055
62,9.0,GEO,13.2
63,9.0,DEU,13.05
64,6.0,GHA,8.32
65,9.0,GRC,13.3
66,8.0,GRD,11.90
67,6.0,GTM,7.75
68,4.0,GIN,4.52
69,3.0,GNB,4.135
70,8.0,GUY,11.05
71,6.0,HTI,7.745
72,7.0,HND,8.78
73,9.0,HUN,13.0
74,8.0,ISL,11.75
75,6.0,IND,8.145
76,7.0,IDN,10.115
77,8.0,IRN,11.95
78,6.0,IRQ,8.15
79,9.0,IRL,14.15
80,9.0,ISR,14.7
81,9.0,ITA,13.6
82,9.0,JAM,12.8
83,9.0,JPN,15.05
84,8.0,JOR,12.55
85,9.0,KAZ,12.75
86,7.0,KEN,9.16
87,8.0,KIR,10.305
88,8.0,KWT,12.15
89,9.0,KGZ,12.7
90,6.0,LAO,7.205
91,8.0,LVA,12.25
92,8.0,LBN,11.15
93,7.0,LSO,9.445
94,5.0,LBR,5.79
95,7.0,LBY,8.655
96,8.0,LTU,11.90
97,8.0,LUX,12.35
98,8.0,MKD,12.05
99,5.0,MDG,6.085
100,5.0,MWI,6.545
101,8.0,MYS,12.34
102,7.0,MDV,8.83
103,2.0,MLI,3.09
104,8.0,MLT,11.0
105,7.0,MHL,9.87
106,5.0,MRT,6.01
107,8.0,MUS,11.05
108,8.0,MEX,11.05
109,9.0,FSM,13.7
110,9.0,MDA,12.75
111,8.0,MNG,10.48
112,8.0,MNE,12.4
113,5.0,MAR,6.68
114,4.0,MOZ,4.865
115,6.0,MMR,8.06
116,7.0,NAM,9.37
117,6.0,NPL,6.965
118,9.0,NLD,13.75
119,9.0,NZL,14.65
120,7.0,NIC,8.735
121,1.0,NER,2.835
122,7.0,NGA,8.765
123,9.0,PRK,13.15
124,9.0,NOR,14.3
125,7.0,OMN,10.075
126,5.0,PAK,6.69
127,8.0,PSE,11.35
128,8.0,PAN,11.7
129,6.0,PNG,7.94
130,7.0,PRY,9.83
131,8.0,PER,11.6
132,8.0,PHL,10.95
133,9.0,POL,13.3
134,8.0,PRT,10.85
135,7.0,QAT,10.105
136,9.0,ROU,12.65
137,9.0,RUS,13.25
138,5.0,RWA,5.84
139,9.0,WSM,13.65
140,6.0,STP,7.335
141,8.0,SAU,11.45
142,4.0,SEN,4.73
143,8.0,SRB,11.5
144,8.0,SYC,11.10
145,4.0,SLE,5.27
146,9.0,SGP,13.65
147,8.0,SVK,11.75
148,8.0,SVN,12.35
149,7.0,SLB,9.3
150,2.0,SOM,3.265
151,8.0,ZAF,11.25
152,9.0,KOR,14.2
153,0.0,SSD,2.41
154,9.0,ESP,13.0
155,8.0,LKA,11.8
156,8.0,LCA,11.85
157,8.0,VCT,11.89
158,6.0,SDN,7.38
159,7.0,SUR,9.75
160,7.0,SWZ,9.57
161,9.0,SWE,14.6
162,8.0,CHE,11.7
163,7.0,SYR,9.485
164,8.0,TJK,11.5
165,6.0,TZA,7.61
166,8.0,THA,11.15
167,7.0,TLS,8.675
168,6.0,TGO,6.885
169,8.0,TON,11.3
170,9.0,TTO,13.55
171,8.0,TUN,10.8
172,7.0,TUR,10.115
173,9.0,TKM,13.35
174,6.0,UGA,7.52
175,9.0,UKR,13.45
176,8.0,ARE,12.5
177,9.0,GBR,14.2
178,9.0,USA,13.60
179,8.0,URY,11.0
180,8.0,UZB,12.25
181,7.0,VUT,9.43
182,8.0,VEN,11.2
183,7.0,VNM,10.05
184,5.0,YEM,5.925
185,6.0,ZMB,8.125
186,8.0,ZWE,10.65
