,fillKey,id,value
0,8.0,ALB,5.28
1,,DZA,
2,6.0,AGO,1.56
3,5.0,ARG,0.7829999999999999
4,,ARM,
5,6.0,AUS,0.866
6,6.0,AUT,0.9890000000000001
7,7.0,AZE,2.39
8,,BGD,
9,,BLR,
10,7.0,BEL,2.02
11,,BLZ,
12,,BTN,
13,4.0,BOL,0.359
14,9.0,BIH,7.32
15,,BRN,
16,8.0,BGR,3.75
17,,KHM,
18,,CMR,
19,6.0,CAN,0.862
20,,CPV,
21,6.0,CHL,0.86
22,6.0,COL,1.36
23,,CRI,
24,,CIV,
25,8.0,HRV,4.6
26,,CUB,
27,6.0,CYP,1.29
28,7.0,CZE,2.05
29,7.0,DNK,1.67
30,,DOM,
31,4.0,ECU,0.285
32,7.0,EGY,2.88
33,8.0,EST,4.45
34,,ETH,
35,6.0,FJI,1.22
36,6.0,FIN,1.34
37,7.0,FRA,2.26
38,,GMB,
39,,GEO,
40,7.0,DEU,1.84
41,,GHA,
42,8.0,GRC,5.17
43,5.0,GTM,0.525
44,5.0,HND,0.619
45,7.0,HUN,3.19
46,6.0,ISL,1.49
47,6.0,IDN,1.35
48,,IRN,
49,8.0,IRL,5.36
50,5.0,ISR,0.7240000000000001
51,7.0,ITA,2.28
52,6.0,JPN,1.18
53,5.0,KAZ,0.797
54,6.0,KGZ,1.21
55,,LAO,
56,8.0,LVA,5.7
57,,LBR,
58,8.0,LTU,5.37
59,6.0,LUX,1.18
60,9.0,MKD,12.6
61,,MWI,
62,3.0,MYS,0.16699999999999998
63,,MDV,
64,,MLI,
65,7.0,MLT,1.72
66,7.0,MUS,1.69
67,3.0,MEX,0.128
68,5.0,MDA,0.779
69,6.0,MNG,1.55
70,9.0,MNE,6.72
71,7.0,MAR,2.28
72,,MMR,
73,,NAM,
74,,NPL,
75,6.0,NLD,1.27
76,6.0,NZL,0.912
77,,NIC,
78,5.0,NOR,0.607
79,2.0,PAK,0.0743
80,7.0,PSE,2.59
81,4.0,PAN,0.214
82,6.0,PRY,0.982
83,,PER,
84,0.0,PHL,0.0262
85,7.0,POL,2.54
86,8.0,PRT,4.2
87,4.0,QAT,0.26899999999999996
88,7.0,ROU,1.9
89,7.0,RUS,1.94
90,,RWA,
91,,WSM,
92,7.0,SAU,1.68
93,,SEN,
94,9.0,SRB,6.39
95,,SLE,
96,8.0,SVK,5.62
97,7.0,SVN,2.55
98,9.0,ZAF,7.29
99,3.0,KOR,0.11900000000000001
100,9.0,ESP,6.44
101,6.0,LKA,1.26
102,,SWZ,
103,6.0,SWE,1.53
104,6.0,CHE,1.36
105,,TJK,
106,,TZA,
107,2.0,THA,0.0958
108,,TLS,
109,,TUN,
110,6.0,TUR,1.24
111,,UGA,
112,6.0,UKR,1.34
113,,ARE,
114,7.0,GBR,2.08
115,7.0,USA,2.1
116,3.0,URY,0.125
117,,VUT,
118,6.0,VEN,0.851
119,4.0,VNM,0.233
120,,YEM,
121,,ZWE,
